platform,machine,round,version,sha,src_tree_id,scenario_id,op,src_fmt,dst_fmt,width,height,params,layout,level,status,reason,warmup,n,min_ms,median_ms,p95_or_max_ms,upper_kind,mean_ms,stdev_ms,spread,checksum_sha256,raw_ms,started_at,finished_at,compiler,flags,power_plan,affinity
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.I420.V,flip,I420,I420,1920,1080,direction=V,tight,dart,OK,,11,50,3.4170,3.8975,4.3580,p95,4.3097,2.2002,0.1182,3809b84e185696e03885a5f1fc1662eeb313c52d568e12a8712a9015295e1f9b,3.6680;4.0270;3.9360;4.0700;4.0500;3.9270;3.9130;4.0950;4.0070;3.7650;3.8230;3.7820;4.3580;3.4170;13.8290;3.6260;3.7830;3.9000;3.9190;3.7960;3.7990;3.9700;3.7680;4.2000;3.7870;3.5890;3.6860;3.9100;3.9320;3.7170;3.8360;3.9210;3.8420;3.9170;3.7450;4.0040;3.7750;3.7490;3.9020;3.8860;3.7600;3.9540;3.7950;3.8770;3.9860;3.9220;3.7920;15.9750;3.8950;3.9040,2026-09-25T16:23:11.322493Z,2026-09-25T16:23:11.803821Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.I420.V,flip,I420,I420,1920,1080,direction=V,tight,dart,OK,,3,15,107.6700,108.6000,114.5530,max,109.3953,1.8987,0.0548,3809b84e185696e03885a5f1fc1662eeb313c52d568e12a8712a9015295e1f9b,108.0160;108.3750;107.9700;108.5150;108.0600;110.3540;111.7270;109.1170;108.6000;109.1060;108.1350;114.5530;111.5360;109.1950;107.6700,2026-09-25T16:23:12.279751Z,2026-09-25T16:23:14.403031Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.NV12.V,flip,NV12,NV12,1920,1080,direction=V,tight,dart,OK,,11,50,2.9600,3.7410,4.0010,p95,3.9265,1.6393,0.0695,d87350a9d70881ce01da8c36f9948b57ed8eb442888674c11ecdaa80ef678b82,2.9600;3.4580;3.7350;3.7670;3.6140;3.7860;3.6900;3.8360;3.4440;3.9230;3.6780;3.6640;3.6660;3.6180;3.9280;3.5390;3.8400;3.6100;3.6430;3.8010;3.4210;4.0560;3.2900;4.0010;3.4700;3.9020;3.7560;3.8100;3.7590;3.5290;3.8480;3.5000;3.9130;3.7090;15.2100;3.6980;3.5880;3.6160;3.8290;3.8680;3.6000;3.7470;3.7510;3.8520;3.8500;3.6050;3.7650;3.6300;3.7600;3.7930,2026-09-25T16:23:14.743804Z,2026-09-25T16:23:15.198706Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.NV12.V,flip,NV12,NV12,1920,1080,direction=V,tight,dart,OK,,6,30,92.5370,94.0475,95.9380,p95,94.3626,1.1069,0.0201,d87350a9d70881ce01da8c36f9948b57ed8eb442888674c11ecdaa80ef678b82,92.5370;94.2460;94.7880;93.8490;94.6650;93.3380;95.3150;93.4570;95.3570;93.5570;95.0520;93.2980;95.6740;93.1080;95.7630;93.2340;95.9380;93.1930;95.5590;93.2400;95.3560;93.4430;96.6670;93.2750;95.0010;93.7450;95.4380;93.6780;95.4870;93.6190,2026-09-25T16:23:15.608890Z,2026-09-25T16:23:19.191615Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.BGRA.V,flip,BGRA,BGRA,1920,1080,direction=V,tight,dart,OK,,6,30,8.1820,8.2935,8.8050,p95,8.6006,1.4942,0.0617,7e3e5c72aa9d1188d0b3e071309d54832cf1fdc84d143603ec80790e1554a9d6,8.2270;8.1820;8.2140;8.2610;8.2380;8.2360;8.1990;8.2160;8.3800;8.4780;8.2270;8.2320;8.1850;8.2920;8.3030;8.2880;8.7150;16.4730;8.2960;8.4010;8.4760;8.2620;8.2450;8.2950;8.3790;8.3590;8.3040;8.3090;8.8050;8.5420,2026-09-25T16:23:19.597210Z,2026-09-25T16:23:20.526076Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.BGRA.V,flip,BGRA,BGRA,1920,1080,direction=V,tight,dart,OK,,6,30,83.9100,87.3600,93.3080,p95,87.6510,4.0597,0.0681,7e3e5c72aa9d1188d0b3e071309d54832cf1fdc84d143603ec80790e1554a9d6,84.8310;104.3640;88.4180;87.3620;84.9820;85.7020;84.5610;93.3080;84.4980;88.0330;84.5290;92.5870;87.3580;87.4140;84.1480;86.7790;83.9420;84.6250;87.5950;84.4160;88.3610;85.0620;88.7750;91.1280;90.7730;88.4370;88.9360;87.4720;83.9100;87.2230,2026-09-25T16:23:20.894409Z,2026-09-25T16:23:24.397428Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.I420.V,flip,I420,I420,4000,3000,direction=V,tight,dart,OK,,6,30,21.4360,22.3085,37.5050,p95,25.2436,6.2653,0.6812,3f99368f921a5c9e6d563b50faccbccaaed394716e1e4a9359a39a006499424a,23.1210;21.4360;21.6580;21.6500;26.5860;21.7680;22.0020;33.8760;21.8170;36.8510;21.7650;22.0500;27.0960;22.1590;21.8670;21.7250;22.4180;22.1680;45.7090;22.1990;21.9680;24.3260;21.7520;22.8220;24.0420;22.5180;37.1360;22.6310;22.6870;37.5050,2026-09-25T16:23:25.059411Z,2026-09-25T16:23:26.941453Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.I420.V,flip,I420,I420,4000,3000,direction=V,tight,dart,OK,,3,15,618.2180,622.2550,637.7390,max,626.9979,7.4797,0.0249,3f99368f921a5c9e6d563b50faccbccaaed394716e1e4a9359a39a006499424a,634.3040;619.8160;619.8280;632.6690;620.1560;622.1100;628.8830;620.0740;634.5120;637.7390;636.6340;621.7750;622.2550;635.9960;618.2180,2026-09-25T16:23:27.555418Z,2026-09-25T16:23:39.586317Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,v024,5f52fd14540a283da91a6d80e1fc7128bba1c796,eba076b4cc9a0d7a686b61edbbb8101da9270356,FLIP.NV12.V,flip,NV12,NV12,4000,3000,direction=V,tight,dart,OK,,6,30,21.1530,22.3540,45.5930,p95,26.1700,7.3787,1.0396,85dbfd616c298c507d35c8ee4f6f36040210e6a072607ce1eda2998a7bff74e6,23.7710;35.6250;21.6170;21.9510;26.6390;22.0920;21.5300;37.4100;21.1530;22.1690;29.8470;22.0030;21.7300;40.7020;21.7520;22.3090;26.8120;22.1420;21.9830;22.4530;22.5260;22.1080;31.9290;22.3560;22.3520;45.6330;22.5460;23.2100;45.5930;21.1570,2026-09-25T16:23:40.273535Z,2026-09-25T16:23:42.105712Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
windows,OLEG-WORK,1,abi_v1,35c516e216fef8d5ed4ef379d38655fc643f738d,9029ff28d9834c069f41159d122b36ed6d9d4968,FLIP.NV12.V,flip,NV12,NV12,4000,3000,direction=V,tight,dart,OK,,3,15,551.9720,560.5370,584.4760,max,561.8701,7.8726,0.0427,85dbfd616c298c507d35c8ee4f6f36040210e6a072607ce1eda2998a7bff74e6,551.9720;564.1210;552.5050;558.2750;559.8450;562.8220;560.5370;562.2310;555.3660;584.4760;561.2520;559.9870;571.3230;559.3880;563.9510,2026-09-25T16:23:42.808198Z,2026-09-25T16:23:53.662029Z,Flutter-3.44.9_Dart-3.12.2_engine-b9499e4c,AOT+MSVC-/MD-/O2-/Ob2-/DNDEBUG,381b4222-f694-41f0-9685-ff5bb260df2e,0x4
